year,recommend,developer,title,sentiment_analysis
1998,True,Valve,Half-Life,2
1998,True,Valve,Half-Life,1
1998,True,Valve,Half-Life,2
1998,True,Valve,Half-Life,0
1998,True,Valve,Half-Life,2
1998,True,Valve,Half-Life,2
1998,True,Valve,Half-Life,2
1998,False,Valve,Half-Life,2
1998,True,Valve,Half-Life,2
1998,True,Valve,Half-Life,1
1998,True,Valve,Half-Life,1
1998,True,Valve,Half-Life,1
1998,True,Valve,Half-Life,0
1998,False,Valve,Half-Life,0
1998,True,Valve,Half-Life,2
1998,True,Valve,Half-Life,0
1998,True,Valve,Half-Life,2
1998,True,Valve,Half-Life,2
1998,False,Valve,Half-Life,2
1998,True,Valve,Half-Life,2
1998,True,Valve,Half-Life,2
1998,True,Valve,Half-Life,0
1998,False,Valve,Half-Life,2
1998,True,Valve,Half-Life,2
1998,False,Valve,Half-Life,0
1998,False,Valve,Half-Life,0
1998,True,Valve,Half-Life,2
1998,False,Valve,Half-Life,0
1998,True,Valve,Half-Life,0
1998,True,Valve,Half-Life,2
1998,True,Valve,Half-Life,2
1998,True,Valve,Half-Life,2
1998,True,Valve,Half-Life,2
1998,True,Valve,Half-Life,2
1998,True,Valve,Half-Life,0
1998,True,Valve,Half-Life,2
1998,False,Valve,Half-Life,2
1998,True,Valve,Half-Life,2
1998,True,Valve,Half-Life,2
1998,True,Valve,Half-Life,2
1998,True,Valve,Half-Life,0
1998,True,Valve,Half-Life,1
1998,True,Valve,Half-Life,2
1998,True,Valve,Half-Life,2
1998,True,Valve,Half-Life,2
1998,True,Valve,Half-Life,2
1998,True,Valve,Half-Life,1
1998,True,Valve,Half-Life,0
1998,True,Valve,Half-Life,0
1998,True,Valve,Half-Life,2
1998,True,Valve,Half-Life,2
1998,False,Valve,Half-Life,2
1998,True,Valve,Half-Life,2
1998,True,Valve,Half-Life,2
1998,True,Valve,Half-Life,2
1998,True,Valve,Half-Life,0
1998,True,Valve,Half-Life,1
1998,True,Valve,Half-Life,0
1998,True,Valve,Half-Life,2
1998,True,Valve,Half-Life,0
1998,True,Valve,Half-Life,2
1998,True,Valve,Half-Life,1
1998,True,Valve,Half-Life,2
1998,False,Valve,Half-Life,0
1998,True,Valve,Half-Life,2
1998,True,Valve,Half-Life,1
1998,False,Valve,Half-Life,0
1998,True,Valve,Half-Life,0
1998,True,Valve,Half-Life,1
1998,False,Valve,Half-Life,2
1998,True,Valve,Half-Life,0
1998,True,Valve,Half-Life,2
1998,True,Valve,Half-Life,2
1998,True,Valve,Half-Life,2
1998,False,Valve,Half-Life,0
1998,True,Valve,Half-Life,2
1998,True,Valve,Half-Life,2
1998,True,Valve,Half-Life,2
1998,True,Valve,Half-Life,1
1998,True,Valve,Half-Life,1
1998,True,Valve,Half-Life,2
1998,True,Valve,Half-Life,2
1998,True,Valve,Half-Life,2
1998,True,Valve,Half-Life,2
1998,True,Valve,Half-Life,2
1998,True,Valve,Half-Life,2
1998,True,Valve,Half-Life,2
1998,True,Valve,Half-Life,1
1998,True,Valve,Half-Life,2
1998,True,Valve,Half-Life,2
1998,True,Valve,Half-Life,2
1998,True,Valve,Half-Life,0
1998,False,Valve,Half-Life,1
1998,True,Valve,Half-Life,2
1998,True,Valve,Half-Life,2
1998,True,Valve,Half-Life,2
1998,True,Valve,Half-Life,0
1998,True,Valve,Half-Life,2
1998,True,Valve,Half-Life,1
1998,True,Valve,Half-Life,2
1998,True,Valve,Half-Life,0
1998,True,Valve,Half-Life,2
1998,True,Valve,Half-Life,2
1998,True,Valve,Half-Life,2
1998,True,Valve,Half-Life,0
1998,True,Valve,Half-Life,1
1998,True,Valve,Half-Life,2
1998,True,Valve,Half-Life,0
1998,True,Valve,Half-Life,2
1998,True,Valve,Half-Life,2
1998,True,Valve,Half-Life,0
1998,True,Valve,Half-Life,1
1998,True,Valve,Half-Life,2
1998,True,Valve,Half-Life,0
1998,True,Valve,Half-Life,2
1998,True,Valve,Half-Life,2
1998,True,Valve,Half-Life,0
