price,user_id,items_count,recommend
9.99,kube134,476,True
9.99,76561198030567998,75,True
9.99,76561198030567998,75,True
9.99,76561198030567998,75,True
9.99,76561198030567998,75,True
9.99,76561198030567998,75,True
9.99,jonasdbomb,461,True
9.99,washington_,112,False
9.99,washington_,112,True
9.99,washington_,112,True
9.99,washington_,112,True
9.99,washington_,112,True
9.99,washington_,112,True
9.99,Mastic,365,False
9.99,Mastic,365,True
9.99,Mastic,365,True
9.99,Mastic,365,True
9.99,Mastic,365,True
9.99,Mastic,365,False
9.99,advenger95,104,True
9.99,advenger95,104,True
9.99,advenger95,104,True
9.99,76561198003056556,557,False
9.99,76561198003056556,557,True
9.99,76561198085956238,88,False
9.99,76561198085956238,88,False
9.99,76561198085956238,88,True
9.99,76561198085956238,88,False
9.99,uradumbtit,246,True
9.99,uradumbtit,246,True
9.99,76561198020928326,110,True
9.99,76561198020928326,110,True
9.99,76561198020928326,110,True
9.99,76561198020928326,110,True
9.99,scroopy22,460,True
9.99,auzzie_96,92,True
9.99,76561198035363871,129,False
9.99,CHAAANG,78,True
9.99,CHAAANG,78,True
9.99,76561198084718144,38,True
9.99,76561198070072786,86,True
9.99,76561198070072786,86,True
9.99,76561198070072786,86,True
9.99,Chermoil,64,True
9.99,Mikinmash,140,True
9.99,76561198091515229,155,True
9.99,Cosmonaut123456789,480,True
9.99,Cosmonaut123456789,480,True
9.99,Cosmonaut123456789,480,True
9.99,76561198074763789,292,True
9.99,76561198074763789,292,True
9.99,76561198074763789,292,False
9.99,76561198074763789,292,True
9.99,76561198074763789,292,True
9.99,76561198074763789,292,True
9.99,76561198074763789,292,True
9.99,damayo,164,True
9.99,76561198071716213,127,True
9.99,76561198071716213,127,True
9.99,76561198071716213,127,True
9.99,Derkness,49,True
9.99,Device600,65,True
9.99,Clarkos,133,True
9.99,76561198054332392,30,False
9.99,76561198054332392,30,True
9.99,76561198089131001,121,True
9.99,76561198050768829,160,False
9.99,76561198075871336,110,True
9.99,76561198075871336,110,True
9.99,76561198075871336,110,False
